Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.69E+00,0.00399999,-0.012,0,-0.2
-8.69E+00,0.00399999,0.012,0,0.4
-8.68E+00,0.00399999,-0.00400001,0,-0.2
-8.68E+00,0.00399999,0.012,0,0.4
-8.68E+00,0.00399999,-0.012,0,-0.2
-8.67E+00,0.00399999,0.012,0,0.4
-8.67E+00,0.00399999,-0.012,0,-0.2
-8.67E+00,0.00399999,0.012,0,0.4
-8.66E+00,0.00399999,-0.012,0,-0.2
-8.66E+00,0.00399999,0.02,0,0.4
-8.66E+00,0.00399999,-0.012,0,-0.2
-8.65E+00,0.00399999,0.012,0,0.4
-8.65E+00,0.00399999,-0.012,0,-0.2
-8.65E+00,0.00399999,0.012,0,0.4
-8.64E+00,0.00399999,-0.012,0,-0.2
-8.64E+00,0.00399999,0.012,0,0.4
-8.64E+00,0.00399999,-0.012,0,-0.2
-8.63E+00,-0.00400001,0.012,0,0.4
-8.63E+00,0.00399999,-0.012,0,-0.2
-8.63E+00,0.00399999,0.012,0,0.4
-8.62E+00,0.00399999,-0.012,0,-0.2
-8.62E+00,0.00399999,0.012,0,0.4
-8.62E+00,0.00399999,-0.012,0,-0.2
-8.61E+00,0.00399999,0.012,0,0.2
-8.61E+00,0.00399999,-0.012,0,-0.2
-8.61E+00,0.00399999,0.012,0,0.4
-8.61E+00,0.00399999,-0.012,0,-0.2
-8.60E+00,0.00399999,0.012,0,0.4
-8.60E+00,0.00399999,-0.012,0,-0.2
-8.60E+00,0.00399999,0.012,0,0.4
-8.59E+00,0.00399999,-0.012,0,-0.2
-8.59E+00,0.00399999,0.012,0,0.4
-8.59E+00,0.00399999,-0.012,0,-0.2
-8.58E+00,0.00399999,0.012,0,0.4
-8.58E+00,0.00399999,-0.012,0,-0.2
-8.58E+00,0.00399999,0.012,0,0.4
-8.57E+00,0.00399999,-0.012,0,-0.2
-8.57E+00,0.00399999,0.012,0,0.4
-8.57E+00,0.00399999,-0.012,0,-0.2
-8.56E+00,0.00399999,0.012,0,0.4
-8.56E+00,0.00399999,-0.012,0,-0.2
-8.56E+00,-0.00400001,0.012,0,0.2
-8.55E+00,0.00399999,-0.012,0,-0.2
-8.55E+00,0.00399999,0.012,0,0.4
-8.55E+00,0.00399999,-0.012,0,-0.2
-8.54E+00,0.00399999,0.012,0,0.4
-8.54E+00,-0.00400001,-0.012,0,-0.2
-8.54E+00,0.00399999,0.012,0,0.4
-8.53E+00,0.00399999,-0.012,0,-0.2
-8.53E+00,0.00399999,0.012,0,0.4
-8.53E+00,0.00399999,-0.012,0,-0.2
-8.53E+00,0.00399999,0.012,0,0.4
-8.52E+00,0.00399999,-0.012,0,-0.2
-8.52E+00,0.00399999,0.012,0,0.4
-8.52E+00,0.00399999,-0.012,0,-0.2
-8.51E+00,0.00399999,0.012,0,0.4
-8.51E+00,0.00399999,-0.012,0,-0.2
-8.51E+00,0.00399999,0.012,0,0.4
-8.50E+00,0.00399999,-0.012,0,-0.2
-8.50E+00,0.00399999,0.012,0,0.4
-8.50E+00,0.00399999,-0.012,0,-0.2
-8.49E+00,0.00399999,0.012,0,0.4
-8.49E+00,0.00399999,-0.012,0,-0.2
-8.49E+00,0.00399999,0.012,0,0.4
-8.48E+00,0.00399999,-0.012,0,-0.2
-8.48E+00,0.00399999,0.012,0,0.4
-8.48E+00,0.00399999,-0.012,0,-0.2
-8.47E+00,0.00399999,0.012,0,0.2
-8.47E+00,0.00399999,-0.012,0,-0.2
-8.47E+00,0.00399999,0.172,0,2.4
-8.46E+00,0.164,0.156,1,0.6
-8.46E+00,0.404,0.484,1.2,1.6
-8.46E+00,0.476,0.468,1.4,1.2
-8.45E+00,0.5,0.516,1.4,1.6
-8.45E+00,0.516,-0.044,1.4,1.2
-8.45E+00,0.516,0.524,1.6,2
-8.45E+00,0.02,0.012,2,1.6
-8.44E+00,0.02,0.036,1.8,2.2
-8.44E+00,0.02,0.012,2,1.6
-8.44E+00,0.524,0.58,1.8,2.6
-8.43E+00,0.516,-0.044,2.2,1.8
-8.43E+00,0.516,0.524,2,3
-8.43E+00,0.02,0.012,2.8,2
-8.42E+00,0.02,0.58,2.6,3.2
-8.42E+00,0.516,-0.044,2.6,2.4
-8.42E+00,0.516,0.524,2.6,3.6
-8.41E+00,0.02,0.012,3.2,2.4
-8.41E+00,0.572,0.58,2.8,3.4
-8.41E+00,0.516,-0.044,3.2,2.8
-8.40E+00,0.02,0.58,3.8,4
-8.40E+00,0.524,-0.044,3,2.4
-8.40E+00,0.516,0.54,3.2,4.4
-8.39E+00,0.02,-0.044,4,2.8
-8.39E+00,0.516,0.58,4,4.2
